time;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440
7.25;0.075164831;0.04820642;0.059760025;0.044355219;0.044799317;0.967665243;1.923741604;1.969956024;2.073938467;2.139408894;2.077789669;0.075164831;0.040504017;0.044355219;0.036652815;0.040319385;0.922865927;1.74658633;2.004616838;2.004616838;2.00846804;1.896783193;0.094420839;0.094420839;0.059760025;0.044355219;0.040319385;1.034864219;1.896783193;1.877527185;2.070087265;2.131706491;2.054682459
7.50;0.075297631;0.04833922;0.059892825;0.044488019;0.044799317;1.111023057;2.162648904;2.143392896;2.270482549;2.41682821;2.235821735;0.079148833;0.040636817;0.044488019;0.036785615;0.035839453;1.06622374;1.916172001;2.116434485;2.22426813;2.178053711;2.089476074;0.098404841;0.09455364;0.07144643;0.044488019;0.040319385;1.196141759;2.185756114;2.158797702;2.22426813;2.362911388;2.216565727
7.75;0.075430432;0.04847202;0.060025625;0.044620819;0.044799317;1.267820666;2.282168954;2.255210543;2.409258607;2.478580236;2.382300196;0.075430432;0.040769617;0.044620819;0.036918415;0.040319385;1.223021349;2.066501664;2.32068097;2.34378818;2.366895389;2.208996123;0.09468644;0.079281633;0.060025625;0.044620819;0.040319385;1.361899231;2.228252132;2.32068097;2.46317543;2.586413881;2.347639381
8.00;0.075430432;0.04847202;0.060025625;0.044620819;0.044799317;1.433578138;2.332234575;2.478580236;2.601818688;2.717354736;2.555604268;0.075430432;0.040769617;0.04847202;0.033067214;0.040319385;1.397738685;2.24750814;2.544050664;2.540199462;2.586413881;2.363044188;0.09468644;0.083132835;0.075430432;0.044620819;0.044799317;1.541096499;2.401556204;2.520943454;2.717354736;2.728908341;2.505538647
8.25;0.079281633;0.04847202;0.060025625;0.044620819;0.044799317;1.608295474;2.424663414;2.671140317;2.805932373;2.906063615;2.786676365;0.07157923;0.040769617;0.044620819;0.033067214;0.040319385;1.576935952;2.424663414;2.674991518;2.744313147;2.667289115;2.486282639;0.09468644;0.063876827;0.063876827;0.044620819;0.040319385;1.733733561;2.586413881;2.755866752;2.936873228;2.859849196;2.65573551
8.50;0.079016033;0.04820642;0.059760025;0.044355219;0.040319385;1.765093083;2.601553088;2.859583595;3.005929257;3.082953289;2.959714837;0.075164831;0.040504017;0.044355219;0.036652815;0.040319385;1.733733561;2.609255491;2.828773983;2.932756426;2.805666773;2.709386733;0.094420839;0.075164831;0.075164831;0.044355219;0.044799317;1.899491033;2.747898749;2.909649216;3.075250886;3.071399684;2.840327587
8.75;0.079016033;0.04820642;0.059760025;0.044355219;0.044799317;1.903970965;2.767154757;3.13301891;3.179233329;3.25240616;3.13301891;0.079016033;0.040504017;0.044355219;0.036652815;0.040319385;1.881571306;2.771005958;3.117614103;3.163828523;2.994375652;2.898095612;0.094420839;0.079016033;0.059760025;0.044355219;0.044799317;2.05180871;2.874988402;3.260108563;3.244703756;3.210042942;3.055994878
9.00;0.075430432;0.04847202;0.060025625;0.044620819;0.044799317;2.033888984;2.936873228;3.375910211;3.449083042;3.487595058;3.329695792;0.075430432;0.040769617;0.044620819;0.033067214;0.040319385;2.011489325;2.929170825;3.399017421;3.329695792;3.233415752;3.121730905;0.09468644;0.098537641;0.063876827;0.040769617;0.044799317;2.181726729;3.021599663;3.364356606;3.452934244;3.46833905;3.268076566
9.25;0.079148833;0.04833922;0.059892825;0.040636817;0.044799317;2.145887276;3.08693729;3.610700709;3.610700709;3.66076633;3.537527879;0.075297631;0.040636817;0.044488019;0.032934414;0.040319385;2.136927412;3.044574073;3.560635089;3.552932685;3.418140629;3.341116597;0.098404841;0.086851236;0.059892825;0.044488019;0.040319385;2.311644748;3.160110121;3.653063927;3.70698075;3.610700709;3.456652645
9.50;0.079281633;0.04847202;0.060025625;0.040769617;0.040319385;2.253405636;3.25267176;3.8265008;3.811095993;3.880417622;3.722518356;0.079281633;0.040769617;0.044620819;0.033067214;0.035839453;2.244445773;3.264225365;3.853459211;3.691708743;3.61083351;3.533809477;0.09468644;0.083132835;0.075430432;0.040769617;0.040319385;2.419163108;3.306588582;3.853459211;3.891971227;3.822649598;3.664750332
9.75;0.079148833;0.04833922;0.059892825;0.040636817;0.044799317;2.356444065;3.395033419;4.030481685;4.003523274;4.04203529;3.857177612;0.075297631;0.040636817;0.044488019;0.032934414;0.035839453;2.351964133;3.383479814;4.061291298;3.89954083;3.760897572;3.676171137;0.098404841;0.083000035;0.063744027;0.040636817;0.035839453;2.5311614;3.395033419;4.011225677;3.972713661;3.94575525;3.80326079
10.00;0.079016033;0.04820642;0.059760025;0.040504017;0.040319385;2.441562767;3.56435349;4.222908965;4.215206562;4.222908965;4.061158498;0.075164831;0.040504017;0.044355219;0.032801614;0.040319385;2.446042698;3.525841474;4.238313772;4.04190249;3.961027256;3.880152022;0.094420839;0.075164831;0.067462428;0.040504017;0.040319385;2.611800171;3.614419111;4.195950554;4.203652957;4.118926522;3.999539272
10.25;0.075164831;0.04820642;0.059760025;0.040504017;0.040319385;2.508761742;3.672187135;4.411617844;4.380808231;4.369254627;4.219057764;0.075164831;0.040504017;0.044355219;0.032801614;0.035839453;2.513241674;3.672187135;4.400064239;4.184396949;4.165140941;4.026497683;0.094420839;0.086718436;0.07131363;0.040504017;0.035839453;2.687959009;3.714550353;4.338445014;4.427022651;4.346147417;4.165140941
10.50;0.075563232;0.04860482;0.060158425;0.040902417;0.044799317;2.580440649;3.807377592;4.573766712;4.523701091;4.477486672;4.373504228;0.075563232;0.040902417;0.044753619;0.033200014;0.040319385;2.589400512;3.876699221;4.515998688;4.338843414;4.323438607;4.211753761;0.09481924;0.083265635;0.07171203;0.040902417;0.040319385;2.759637916;3.872848019;4.512147486;4.489040277;4.465933067;4.334992212
10.75;0.075563232;0.04860482;0.060158425;0.040902417;0.040319385;2.638679761;3.988384067;4.700856365;4.654641946;4.619981131;4.539105898;0.07171203;0.040902417;0.044753619;0.033200014;0.035839453;2.652119556;3.992235269;4.673897954;4.489040277;4.47363547;4.381206632;0.09481924;0.079414433;0.079414433;0.040902417;0.040319385;2.813397096;4.023044882;4.627683535;4.554510704;4.566064309;4.500593881
11.00;0.079281633;0.04847202;0.060025625;0.040769617;0.040319385;2.687959009;4.203918557;4.870176436;4.750789186;4.754640388;4.770045194;0.075430432;0.040769617;0.044620819;0.033067214;0.035839453;2.696918873;4.153852937;4.785450001;4.585187517;4.589038718;4.515865888;0.09468644;0.083132835;0.07157923;0.040769617;0.040319385;2.853716481;4.153852937;4.750789186;4.677616355;4.693021162;4.642955541
11.25;0.075297631;0.04833922;0.059892825;0.040636817;0.040319385;2.710358668;4.40019704;4.974026079;4.877746039;4.870043636;5.228205386;0.075297631;0.040636817;0.044488019;0.032934414;0.035839453;2.737238258;4.311619402;4.858490031;4.715995572;4.696739563;4.685185959;0.09455364;0.07144643;0.075297631;0.040636817;0.040319385;2.885076003;4.330875411;4.846936426;4.789168402;4.83153162;4.835382821
11.50;0.075297631;0.04833922;0.059892825;0.040636817;0.040319385;2.732758326;4.558096306;5.104966934;5.027942902;5.0240917;5.763522409;0.075297631;0.040636817;0.044488019;0.032934414;0.035839453;2.759637916;4.523435491;4.935514063;4.850787628;4.823829217;4.866192434;0.09455364;0.075297631;0.075297631;0.040636817;0.035839453;2.907475662;4.407899443;4.958621273;4.908555652;4.931662862;5.35914624
11.75;0.075430432;0.04847202;0.060025625;0.040769617;0.040319385;2.750678053;4.704574767;5.224486984;5.124355742;5.151314154;5.71744079;0.07157923;0.040769617;0.044620819;0.033067214;0.035839453;2.790997438;4.642955541;5.062736516;4.943349267;4.943349267;5.486368694;0.09468644;0.067728028;0.07157923;0.044620819;0.035839453;2.934355252;4.550526702;5.039629307;5.016522097;5.035778105;5.856084048
