"TestId"	"AddId"	"concentration"	"reliability_tag"	"log.x"	"log.y"	"nboot.gc"	"mu.linfit"	"tD.linfit"	"lambda.linfit"	"dY.linfit"	"A.linfit"	"tmu.start.linfit"	"tmu.end.linfit"	"r2mu.linfit"	"reliable_fit.linfit"	"reliable_fit2.linfit"	"mu.spline"	"tD.spline"	"tmax.spline"	"lambda.spline"	"y0.spline"	"A.spline"	"dY.spline"	"integral.spline"	"reliable_fit.spline"	"reliable_fit2.spline"	"smooth.spline"
"SEM1.4 uvrYE197K fabBL77P"	"3"	"20"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.672277743516595"	"1.03104287959049"	"1.50310868900458"	"1.278"	"1.386"	"3.75"	"5.254167"	"0.996860107654407"	"TRUE"	"FALSE"	"0.560978911947631"	"1.23560291803741"	"3.254167"	"0.966910771480064"	"0.0877766071369812"	"1.40171402004993"	"1.31393741291295"	"159.661701200388"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"4"	"20"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.667529009011672"	"1.03837761535817"	"1.39473387968397"	"1.349"	"1.462"	"3.254167"	"5.004167"	"0.99907302970313"	"TRUE"	"FALSE"	"0.567651019275691"	"1.22107977793184"	"3.254167"	"0.936539663128671"	"0.0912605733893226"	"1.47346012551398"	"1.38219955212465"	"163.92288515877"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"5"	"20"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.661557571929204"	"1.04775035457401"	"1.34185653036283"	"1.345"	"1.457"	"3.504167"	"5.004167"	"0.998262311902811"	"TRUE"	"FALSE"	"0.557408133968644"	"1.24351823792894"	"3.254167"	"0.821364162863884"	"0.092423788220602"	"1.47122662325593"	"1.37880283503533"	"165.739768891837"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"6"	"20"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.722814352289436"	"0.958956028424833"	"1.37848653575881"	"1.326"	"1.413"	"3.504167"	"5.004167"	"0.999144705374868"	"TRUE"	"FALSE"	"0.610620537919038"	"1.1351520912188"	"3.254167"	"0.878227745823338"	"0.0704307451140804"	"1.4324766969993"	"1.36204595188521"	"179.901747556294"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"1"	"40"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.5736119179261"	"1.20839047951797"	"1.51284438339769"	"2.2"	"2.307"	"4.75"	"6.75"	"0.998478282926706"	"TRUE"	"FALSE"	"0.557891451485439"	"1.24244094207641"	"4.5"	"1.36811067602226"	"0.0904699794123305"	"2.33261089926395"	"2.24214091985162"	"192.97654268235"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"2"	"40"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.554909057656258"	"1.2491185195058"	"1.3999457831507"	"2.199"	"2.309"	"4.25"	"6.75"	"0.999371194288701"	"TRUE"	"FALSE"	"0.546401126818029"	"1.26856835855463"	"4.25"	"1.29072730371559"	"0.0918687130647058"	"2.33630951767329"	"2.24444080460858"	"191.54721026537"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"3"	"40"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.616304430893708"	"1.12468310434635"	"1.58874554873952"	"2.22"	"2.303"	"5.004167"	"6.75"	"0.999536839596821"	"TRUE"	"FALSE"	"0.5946800771897"	"1.16557995996028"	"4.25"	"1.38692772720431"	"0.0677933067484351"	"2.32913678313749"	"2.26134347638906"	"208.974840571951"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"1"	"60"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.53860994195178"	"1.28691865220342"	"2.37085538032195"	"2.877"	"2.982"	"4.75"	"7.504167"	"0.999461648441484"	"TRUE"	"FALSE"	"0.526158291732531"	"1.31737386153804"	"5.754167"	"2.24846550382968"	"0.0928302618495613"	"2.96666514331501"	"2.87383488146545"	"194.266239508712"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"2"	"60"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.519145644277803"	"1.33516901894496"	"1.96873996547624"	"2.858"	"2.956"	"4.5"	"7.504167"	"0.999455908969891"	"TRUE"	"FALSE"	"0.520153626132824"	"1.33258165614123"	"5.5"	"1.93648729928548"	"0.0860686778116286"	"2.96095815601311"	"2.87488947820148"	"199.394250977381"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"3"	"60"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.551980241495676"	"1.2557463627353"	"2.16146540479206"	"2.867"	"2.948"	"5.004167"	"7.504167"	"0.999523662049766"	"TRUE"	"FALSE"	"0.550589383718565"	"1.25891853540396"	"5.754167"	"2.11134933113138"	"0.0701051965028765"	"2.95380855409973"	"2.88370335759686"	"209.849351083318"	"TRUE"	"FALSE"	"0.55"
